,id,title,adult,popularity,release_date,vote_average,vote_count
93,744,Top Gun,False,108.524,1986-05-16,7.0,6644
94,464293,The Legend of Maula Jatt,False,106.646,2022-10-13,10.0,1
95,746333,Superwho?,False,104.271,2022-02-02,6.1,285
96,936074,Tenor,False,103.079,2022-05-04,7.2,106
97,23202,Trick 'r Treat,False,102.452,2007-10-26,7.0,1496
98,588921,AINBO: Spirit of the Amazon,False,98.978,2021-02-09,7.0,355
99,793937,The School of the Magical Animals,False,92.5,2021-10-14,6.1,30
100,851303,Waiting for Bojangles,False,88.906,2022-01-05,7.6,157
101,783556,Men on the Verge of a Nervous Breakdown,False,88.652,2022-02-10,5.6,32
102,676705,Pil's Adventures,False,88.323,2021-08-11,6.8,127
103,754609,Mrs. Harris Goes to Paris,False,87.928,2022-07-15,7.5,82
104,545611,Everything Everywhere All at Once,False,87.528,2022-03-24,8.1,2160
105,758330,"Good Luck to You, Leo Grande",False,86.04,2022-06-17,7.0,147
106,532870,Run Sweetheart Run,False,85.407,2022-10-28,6.0,32
107,1023313,The Exorcist,False,84.113,2022-11-02,0.0,0
108,772071,Cuando Sea Joven,False,81.197,2022-09-14,6.0,1
109,614939,Bros,False,77.088,2022-09-30,7.2,149
110,744114,My Policeman,False,75.708,2022-10-21,6.3,9
111,1002770,Soy Tu Fan: la película,False,74.156,2022-11-03,7.4,14
112,865686,Good Mourning,False,71.542,2022-05-20,6.4,17
113,976720,Vesper,False,71.484,2022-08-17,6.8,183
114,934207,Sissy,False,68.17,2022-11-03,8.3,3
115,766475,See How They Run,False,65.94,2022-09-09,6.7,173
116,757999,Beautiful Minds,False,65.524,2022-01-19,7.6,68
117,1026563,13 Exorcisms,False,65.194,2022-11-04,0.0,0
118,807070,Vortex,False,64.418,2022-01-27,7.1,92
119,948333,Into the Deep,False,64.04,2022-08-26,6.7,24
120,913868,The Princess,False,63.725,2022-05-30,6.9,17
121,283566,Evangelion: 3.0+1.0 Thrice Upon a Time,False,62.807,2021-03-08,8.4,578
122,664469,Amsterdam,False,61.828,2022-09-27,6.0,141
123,876797,The Last 10 Years,False,57.455,2022-03-04,6.2,5
124,819876,Crimes of the Future,False,57.176,2022-05-25,6.4,518
125,1039026,Franco Escamilla: Eavesdropping,False,56.703,2022-10-23,8.6,41
126,578,Jaws,False,55.238,1975-06-20,7.6,8722
127,889080,What We Leave Behind,False,55.164,2022-09-23,6.0,2
128,901563,Close,False,54.367,2022-11-01,8.4,9
129,737568,The Doorman,False,52.798,2020-10-01,5.9,331
130,824281,Easter Sunday,False,50.412,2022-08-05,6.3,25
131,553600,Promare,False,50.26,2019-05-24,7.1,197
132,799379,Project Wolf Hunting,False,50.203,2022-09-28,6.9,12
133,520023,Bodies Bodies Bodies,False,49.989,2022-08-05,6.6,254
134,555604,Guillermo del Toro's Pinocchio,False,47.555,2022-11-09,0.0,0
135,497828,Triangle of Sadness,False,47.06,2022-09-23,7.6,200
136,942892,1-800-HOT-NITE,False,46.627,2022-11-04,0.0,0
137,791333,Four's a Crowd,False,45.8,2022-10-28,6.0,1
138,752,V for Vendetta,False,44.961,2006-02-23,7.9,12673
139,4233,Scream 2,False,44.558,1997-12-12,6.4,3149
140,879444,Accident Man: Hitman's Holiday,False,43.963,2022-10-14,6.8,32
141,910858,The Estate,False,43.729,2022-11-04,0.0,0
142,978415,Horseplay,False,42.915,2022-09-17,4.3,3
143,972545,Good Night Oppy,False,42.44,2022-11-04,0.0,0
144,623511,The Burning Sea,False,42.33,2021-10-29,6.7,104
145,942921,Call of the Unseen,False,42.178,2022-11-02,4.0,1
146,560052,My Father's Dragon,False,40.933,2022-11-04,0.0,0
147,1039627,LOL Surprise: Desfile de invierno,False,40.502,2022-10-24,8.0,13
148,964909,Next Exit,False,40.149,2022-11-04,0.0,0
149,818415,Mission «Sky»,False,40.142,2022-11-04,0.0,0
150,821494,Last Film Show,False,40.101,2022-01-06,7.1,10
151,554594,Koati,False,39.948,2021-10-22,7.3,72
152,934131,Soft & Quiet,False,39.725,2022-11-04,0.0,0
153,660942,The Innocents,False,39.508,2021-09-03,7.1,247
154,646473,Dear Zoe,False,39.211,2022-11-04,5.0,1
155,714968,Plan A,False,39.073,2021-08-16,6.0,61
156,843847,Jerry & Marge Go Large,False,38.947,2022-10-20,8.0,12
157,396194,Ennio,False,38.815,2022-02-17,8.5,165
158,979924,On the Line,False,37.869,2022-10-31,6.2,18
159,935999,Hounded,False,36.229,2022-10-21,6.7,3
160,631947,The Legend of La Llorona,False,36.0,2022-01-07,4.9,32
161,782936,Nocebo,False,35.604,2022-11-03,0.0,0
162,817758,TÁR,False,35.034,2022-10-07,7.4,18
163,609,Poltergeist,False,34.547,1982-06-04,7.1,2455
164,934641,The Minute You Wake Up Dead,False,33.967,2022-11-04,0.0,0
165,1024546,Detective Knight: Rogue,False,33.953,2022-10-21,5.3,4
166,619,The Bodyguard,False,33.666,1992-11-25,6.7,2434
167,947248,Lyra,False,33.295,2022-11-04,0.0,0
168,760099,Living,False,32.089,2022-11-04,0.0,0
169,726207,Phone Bhoot,False,31.499,2022-11-04,0.0,0
170,842942,Bandit,False,30.951,2022-09-23,7.2,31
171,685691,"BARDO, False Chronicle of a Handful of Truths",False,30.687,2022-10-27,8.0,3
172,1933,The Others,False,30.538,2001-08-02,7.6,5437
173,805051,Welcome to Smelliville,False,30.343,2021-05-06,7.1,55
174,1035375,Duran Duran: A Hollywood High,False,30.115,2022-11-03,0.0,0
175,939899,No mires a los ojos,False,29.84,2022-11-04,0.0,0
176,800282,I'm Totally Fine,False,29.494,2022-11-04,0.0,0
177,674324,The Banshees of Inisherin,False,29.378,2022-10-21,8.0,20
178,733057,Perempuan Bergaun Merah,False,29.374,2022-11-03,7.5,1
179,821427,The Novice,False,29.33,2021-12-17,6.4,74
180,3176,Battle Royale,False,29.277,2000-12-16,7.3,2804
181,910365,The Conference,False,29.198,2022-05-06,6.9,10
182,957221,Chosen,False,28.822,2022-11-03,0.0,0
183,823766,The Wonder,False,28.749,2022-11-02,0.0,0
184,633929,You Will Remember Me,False,28.389,2022-11-04,0.0,0
185,693349,Caravaggio's Shadow,False,28.207,2022-11-03,0.0,0
186,843621,Something in the Dirt,False,28.059,2022-11-03,0.0,0
187,683340,Vengeance,False,27.985,2022-07-29,6.8,116
188,551271,Medieval,False,27.793,2022-09-08,7.1,39
189,610338,14+: Continued,False,27.771,2022-11-03,0.0,0
190,855166,You Resemble Me,False,27.713,2022-11-04,0.0,0
191,950073,I Am Corn Puffians: Ghost Camera,False,27.665,2022-11-03,0.0,0
192,766105,A Taste of Hunger,False,27.619,2021-06-24,6.2,27
193,807356,Watcher,False,27.488,2022-06-03,6.3,263
194,993234,Borders of Love,False,27.454,2022-11-03,0.0,0
195,833326,Zero Fucks Given,False,26.996,2022-03-02,6.5,104
196,811336,The Last Heist,False,26.94,2022-11-04,0.0,0
197,908397,Mili,False,26.911,2022-11-04,0.0,0
198,754158,Hui Buh und das Hexenschloss,False,26.662,2022-11-03,0.0,0
199,965150,Aftersun,False,26.598,2022-10-21,7.8,18
200,893712,Sword Art Online the Movie -Progressive- Scherzo of a Deep Night,False,26.279,2022-10-22,8.0,1
201,886083,Deadstream,False,26.215,2022-10-20,6.4,35
202,595586,Causeway,False,26.138,2022-10-28,6.0,2
203,1002470,Walk Up,False,26.008,2022-11-03,0.0,0
204,1032603,Rebellion,False,25.905,2022-11-03,0.0,0
205,997669,My Neighbor Adolf,False,25.809,2022-11-03,5.8,4
206,978339,Wer gräbt den Bestatter ein,False,25.634,2022-11-03,0.0,0
207,833339,Speak No Evil,False,25.474,2022-03-17,6.6,112
208,795564,Crayon Shin-chan: Shrouded in Mystery! The Flowers of Tenkazu Academy,False,25.203,2021-04-23,7.2,5
209,1015243,I Will Live,False,25.166,2022-11-03,4.0,1
210,899425,Banaras,False,25.039,2022-11-04,0.0,0
211,1039502,Oye Makhna,False,24.986,2022-11-04,0.0,0
212,988719,Next Door,False,24.965,2022-11-03,0.0,0
213,962194,Saturday Night,False,24.923,2022-11-04,0.0,0
214,804251,Alcarràs,False,24.871,2022-04-29,7.1,44
215,576982,Nitham Oru Vaanam,False,24.688,2022-11-04,0.0,0
216,1027398,Beyond the Reef,False,24.605,2022-11-03,0.0,0
217,872989,Charcoal,False,24.482,2022-11-03,0.0,0
218,915776,Double XL,False,24.441,2022-11-04,0.0,0
219,812488,Mete miedo,False,24.413,2022-09-02,6.2,17
220,1037402,Mahalleden Arkadaşlar,False,24.364,2022-11-04,0.0,0
221,1034629,Stromboli,False,24.293,2022-11-03,0.0,0
222,892515,Masquerade,False,24.285,2022-11-01,7.3,22
223,1035078,The Chasers,False,24.133,2022-11-03,0.0,0
224,650233,Mistresses: Strike Back,False,24.008,2022-11-03,0.0,0
225,606870,The Survivor,False,23.865,2022-04-07,7.5,65
226,933833,Kooman,False,23.848,2022-11-04,0.0,0
227,597828,Golden Neighbors,False,23.839,2022-11-03,0.0,0
228,789070,Kevin,False,23.818,2022-11-03,0.0,0
229,1032287,Like Share & Subscribe,False,23.715,2022-11-04,0.0,0
230,1017417,By The Window,False,23.551,2022-11-04,0.0,0
231,1032627,Love Today,False,23.538,2022-11-04,0.0,0
232,990408,SUNI,False,23.484,2022-11-03,0.0,0
233,1033866,Urvasivo Rakshasivo,False,23.407,2022-11-04,0.0,0
234,927991,This House,False,23.372,2022-11-04,0.0,0
235,1019354,Listy do M. 5,False,23.358,2022-11-04,0.0,0
236,975575,Little Blue,False,23.285,2022-11-04,0.0,0
237,1038916,Дикие предки,False,23.271,2022-11-03,0.0,0
238,915983,We Are Next of Kin,False,23.268,2022-11-03,0.0,0
239,727340,Hunt,False,23.264,2022-08-10,7.2,31
240,1027296,SINFON14,False,23.197,2022-11-03,0.0,0
241,995443,The Oil Machine,False,23.065,2022-11-04,0.0,0
242,979597,Святитель,False,22.964,2022-11-03,0.0,0
243,1010428,A Similar Man,False,22.91,2022-11-03,0.0,0
244,1034612,Петр I. Последний царь и первый император,False,22.901,2022-11-03,0.0,0
245,1031747,All Girls,False,22.894,2022-11-03,0.0,0
246,875459,Magda,False,22.759,2022-11-03,0.0,0
247,1034843,Me busco lejos,False,22.753,2022-11-03,0.0,0
248,821857,Ragazzaccio,False,22.753,2022-11-03,0.0,0
249,903142,Thaggedhe Le,False,22.75,2022-11-04,0.0,0
250,1024175,Lethal Trip,False,22.698,2022-11-04,0.0,0
251,913046,Shakuntalam,False,22.632,2022-11-04,0.0,0
252,726888,Heartbeast,False,22.627,2022-11-04,0.0,0
253,997235,Subho Bijoya,False,22.589,2022-11-03,0.0,0
254,1028736,Nariti,False,22.565,2022-11-03,0.0,0
255,1021497,Nada É Por Acaso,False,22.557,2022-11-03,0.0,0
256,993283,Art Talent Show,False,22.547,2022-11-03,0.0,0
257,1022129,Te prometo una larga amistad,False,22.518,2022-11-03,0.0,0
258,1036762,살인청부업자,False,22.482,2022-11-03,0.0,0
259,1037045,Tres Perros Para Una Salchicha,False,22.396,2022-11-03,0.0,0
260,936386,The Water,False,22.336,2022-11-04,0.0,0
261,979598,Заступница,False,22.326,2022-11-03,0.0,0
262,746635,Celestial Crimea,False,22.174,2022-11-03,0.0,0
263,1036785,Bomma Blockbuster,False,22.117,2022-11-04,0.0,0
264,969146,Hosanna,False,22.089,2022-11-03,0.0,0
265,1035640,ハッピーエンディングス,False,22.035,2022-11-04,0.0,0
266,1032328,Insite,False,22.032,2022-11-04,0.0,0
267,1035638,死刑,False,21.98,2022-11-04,0.0,0
268,660046,Ponniyin Selvan: Part I,False,21.93,2022-09-30,8.0,18
269,1024086,Palyad,False,21.924,2022-11-04,0.0,0
270,774301,American Murderer,False,21.893,2022-10-21,6.0,3
271,886430,Highway Family,False,21.562,2022-11-02,7.0,1
272,807196,Boiling Point,False,21.458,2021-07-05,7.3,240
273,854239,Till,False,21.407,2022-10-14,8.8,6
274,975637,Gekijouban Argonavis: Axia,False,21.314,2022-11-04,0.0,0
275,864687,Aanaparambile World Cup,False,21.277,2022-11-04,0.0,0
276,1032770,それぞれの花,False,21.241,2022-11-04,0.0,0
277,1019207,The Girls of 1960,False,21.213,2022-11-04,0.0,0
278,1038259,Wandel 2,False,21.189,2022-11-04,0.0,0
279,1023594,炎上シンデレラ,False,21.094,2022-11-04,0.0,0
280,676819,Moneyboys,False,21.05,2021-11-19,6.7,22
281,843380,Dead for a Dollar,False,21.017,2022-09-30,6.2,23
282,1040525,Retreat,False,20.664,2022-11-04,0.0,0
283,1040521,Creating things is the best,False,20.664,2022-11-03,0.0,0
284,939681,Soviet Milk,False,20.441,2022-11-04,0.0,0
285,811656,Monstrous,False,20.201,2022-05-13,5.8,103
286,912035,A Unicorn for Christmas,False,20.196,2022-11-04,0.0,0
287,890980,God's Crooked Lines,False,19.948,2022-10-07,7.1,14
288,959558,Moloch,False,19.828,2022-05-19,6.3,38
289,615952,Armageddon Time,False,18.954,2022-10-28,0.0,0
290,846433,The Enforcer,False,18.627,2022-09-22,5.9,26
291,800368,On the Job: The Missing 8,False,18.489,2022-11-02,0.0,0
292,820722,The Good Boss,False,17.974,2021-10-15,7.1,232
293,816956,Dig,False,17.879,2022-09-23,4.6,5
294,1024627,The System,False,17.871,2022-10-28,8.0,1
295,1034433,2022 League of Legends World Championship,False,17.811,2022-11-05,0.0,0
296,852917,A Savannah Haunting,False,17.289,2022-10-28,6.2,3
297,1030328,Hazine,False,17.042,2022-11-05,0.0,0
298,604571,Deus,False,16.89,2022-11-04,0.0,0
299,879957,Wyrmwood: Apocalypse,False,16.888,2022-02-10,5.6,52
300,936391,You Will Not Have My Hate,False,16.542,2022-11-02,0.0,0
301,630720,Dark Glasses,False,16.316,2022-02-24,4.7,106
302,850297,Pamfir,False,16.299,2022-11-02,7.5,2
303,885903,Survivor's Choice,False,16.282,2022-10-28,0.0,0
